Path;Generated solution;Elapsed time;Percent deviation;Deviation;Optimal solution;Cooling strategy;Gen strategy
4 6 5 8 7 2 3 4 ;75;1391;10.2941;7;68;Geo;Swap
7 5 11 8 9 4 6 2 1 3 7 ;159;2039;10.6742;19;178;Geo;Swap
40 9 1 38 31 46 11 23 13 39 48 5 29 41 14 25 21 47 20 33 28 37 19 27 17 43 30 6 18 36 7 44 15 12 32 24 42 4 26 35 45 10 2 34 3 16 22 40 ;17462;20943;21.0789;3040;14422;Geo;Swap
20 19 2 42 44 47 46 43 48 45 35 33 26 28 29 53 52 51 50 49 30 27 1 37 36 38 40 7 10 8 6 9 34 32 31 4 3 18 24 25 23 22 21 12 11 15 14 13 39 5 17 16 20 ;8446;25209;22.3172;1541;6905;Geo;Swap
83 55 60 23 45 32 17 21 72 10 53 88 16 22 94 19 90 49 8 89 42 31 80 56 75 97 26 65 66 4 40 44 82 95 13 76 37 33 5 52 14 41 100 71 3 43 29 46 7 57 77 58 67 61 87 51 25 81 69 73 50 68 85 30 48 78 96 39 2 64 54 28 93 1 6 92 63 47 27 86 12 20 35 62 91 15 11 74 59 18 79 24 99 36 38 84 98 9 34 83 ;48557;81965;34.0243;12327;36230;Geo;Swap
4 6 1 7 5 8 2 4 ;70;1396;2.94118;2;68;Geo;Rev
10 8 9 11 4 7 5 3 6 1 10 ;199;2078;11.7978;21;178;Geo;Rev
15 11 23 47 20 33 18 7 28 37 19 6 17 27 43 30 36 44 31 38 9 8 1 16 22 3 14 25 13 21 32 39 29 2 4 26 35 45 10 42 24 48 5 34 40 12 46 15 ;15503;20925;7.49549;1081;14422;Geo;Rev
6 52 50 53 51 49 28 27 17 12 11 46 19 2 4 5 18 16 36 21 25 40 39 33 34 32 31 41 45 44 43 47 42 48 24 23 22 30 29 26 3 1 37 38 10 8 9 14 13 15 35 7 6 ;10495;26125;51.9913;3590;6905;Geo;Rev
49 20 3 22 57 43 41 37 70 65 40 42 39 7 12 9 26 25 53 47 62 55 23 56 48 35 33 30 24 13 21 31 38 28 54 52 51 17 2 61 60 58 19 29 46 44 50 36 14 11 10 68 66 69 67 64 18 15 8 4 5 27 63 59 16 1 34 32 45 49 ;50010;42523;29.315;11337;38673;Geo;Rev
43 14 48 41 100 71 30 52 78 96 5 37 33 76 13 82 85 68 81 73 50 44 2 64 54 40 61 25 67 28 23 45 91 98 47 63 75 4 97 56 80 31 89 42 8 92 90 6 49 22 70 88 19 53 65 26 66 16 94 79 18 36 38 24 99 21 84 10 72 59 74 15 17 11 32 60 62 35 20 86 27 57 12 55 77 58 93 1 69 39 3 29 34 9 87 51 7 83 46 43 ;46296;84252;27.7836;10066;36230;Geo;Rev
4 6 3 1 7 5 8 4 ;90;1352;32.3529;22;68;Geo;Ins
10 11 8 9 7 5 3 6 2 1 10 ;179;2017;0.561798;1;178;Geo;Ins
41 34 29 2 4 26 10 45 24 42 5 48 32 39 21 13 25 14 23 11 40 15 12 47 20 33 46 36 7 18 28 30 37 43 17 27 19 6 44 31 38 9 1 8 16 22 3 41 ;14534;21143;0.776591;112;14422;Geo;Ins
39 5 2 4 14 12 11 13 15 25 23 47 44 42 48 45 35 53 52 50 49 30 29 26 28 27 16 38 19 20 17 33 34 32 31 1 37 36 41 46 43 8 7 6 10 9 3 18 24 21 22 40 39 ;7941;25472;15.0036;1036;6905;Geo;Ins
23 22 27 10 12 47 46 50 30 13 11 15 6 5 55 60 58 39 40 42 41 37 43 36 14 9 8 4 32 63 62 59 57 54 21 18 26 25 3 1 2 61 35 33 45 24 53 56 52 51 19 20 48 34 31 38 70 68 66 69 67 64 65 49 44 7 17 16 28 23 ;41099;42301;6.27311;2426;38673;Geo;Ins
18 38 53 16 22 70 94 88 90 63 6 49 1 92 89 42 8 97 26 65 66 4 79 10 72 21 59 74 32 60 62 35 7 25 67 28 58 47 91 15 11 36 84 17 45 23 98 77 57 83 9 87 51 61 81 69 73 85 68 44 2 40 64 50 39 48 41 100 71 14 34 46 20 86 27 12 55 43 3 29 30 52 78 96 5 37 33 13 76 95 82 54 80 31 56 75 19 24 99 18 ;46205;84513;27.5324;9975;36230;Geo;Ins
7 5 8 4 2 3 1 7 ;68;102253;0;0;68;
3 7 5 11 8 9 4 6 2 1 3 ;159;26894;10.6742;19;178;
23 7 37 27 30 19 15 46 12 34 20 5 29 13 21 10 26 2 48 25 42 39 32 45 35 22 28 44 17 8 9 40 33 1 31 16 14 4 24 11 36 6 43 38 47 3 41 23 ;33527;900000;132.471;19105;14422;
25 18 38 8 1 46 47 41 33 36 37 22 23 20 26 32 31 4 15 21 48 35 39 28 2 12 40 6 9 44 45 14 13 5 34 7 52 51 53 49 50 29 10 19 3 16 27 30 17 24 43 42 25 ;17198;900000;149.066;10293;6905;
26 17 22 24 19 9 13 67 64 70 65 25 55 47 46 50 6 7 10 30 56 3 37 36 43 11 18 53 57 20 52 34 41 39 59 49 21 27 63 62 5 15 28 29 1 2 40 8 32 61 42 38 35 33 69 68 66 23 31 48 14 45 58 60 4 16 54 51 12 26 ;59502;900000;53.8593;20829;38673;
6 90 11 49 32 20 81 56 66 53 36 85 95 50 75 15 8 37 34 97 89 10 98 93 4 83 7 29 1 35 69 71 70 19 100 77 46 60 3 82 33 44 54 87 58 72 21 94 88 22 24 65 26 79 84 39 68 51 73 78 48 43 61 30 27 57 31 63 12 91 64 40 41 14 5 52 28 25 55 45 62 17 23 92 80 16 18 13 86 76 96 38 99 74 47 42 9 67 59 6 ;135834;900000;274.921;99604;36230;
5 3 1 7 2 4 6 5 ;77;8224;862.5;69;8;
8 4 6 7 2 3 1 8 ;83;8484;22.0588;15;68;
3 6 2 1 10 8 9 4 7 5 3 ;141;32941;20.7865;37;178;
48 47 29 9 23 14 8 44 18 16 13 38 20 1 12 17 6 37 36 28 41 40 5 39 25 11 22 3 2 26 4 35 21 15 30 43 31 46 27 19 7 33 34 42 10 24 45 48 ;32693;900000;126.688;18271;14422;
19 43 46 42 48 4 44 2 11 52 49 51 53 34 15 39 33 27 26 8 22 6 10 9 41 16 17 24 45 36 18 12 1 7 3 47 31 38 5 23 28 14 40 37 35 29 32 13 21 25 50 20 19 ;17977;3.52941e+07;160.348;11072;6905;
32 13 52 57 54 12 24 19 61 58 69 67 68 70 25 66 64 5 56 27 33 11 26 30 49 62 37 41 46 21 34 23 15 60 18 20 45 28 44 3 47 63 55 6 38 65 42 43 36 9 8 35 4 7 53 50 48 1 10 51 31 22 39 40 17 16 29 14 59 32 ;61011;900000;57.7612;22338;38673;
33 40 67 20 1 89 32 86 61 96 15 55 87 68 58 69 7 17 60 38 59 22 90 21 8 2 51 43 52 9 63 49 99 91 45 27 48 77 47 70 53 28 30 37 5 72 83 78 50 85 29 100 3 62 98 34 81 25 42 4 24 16 19 82 26 31 92 56 54 13 46 64 39 95 76 36 97 79 80 88 75 65 93 14 41 71 44 11 84 94 66 74 35 12 23 57 18 10 73 33 ;134645;900000;271.64;98415;36230;
3 1 7 5 8 4 6 3 ;90;8307;32.3529;22;68;
7 9 4 5 11 6 1 10 2 3 7 ;169;23456;5.05618;9;178;
35 45 20 23 42 29 2 24 14 28 6 27 37 43 15 7 17 46 19 47 25 11 48 26 21 13 16 22 41 3 32 18 34 8 40 38 36 30 33 1 31 9 12 39 5 4 10 35 ;33479;900000;132.138;19057;14422;
3 7 60 23 45 30 52 19 32 53 29 56 12 62 17 63 26 25 44 55 54 10 28 66 68 36 43 34 4 9 47 49 31 39 40 6 33 1 24 27 13 8 14 48 50 59 2 58 16 18 11 57 35 41 37 65 70 5 20 22 51 38 67 69 64 42 21 15 61 3 ;59848;900000;54.754;21175;38673;
53 19 96 89 80 29 41 60 12 39 25 83 40 42 70 18 59 51 97 73 50 44 3 14 48 94 26 92 9 64 100 43 32 58 31 54 85 95 34 82 93 66 6 74 27 2 20 86 78 62 56 84 1 63 10 22 81 46 71 52 33 65 99 15 21 38 36 16 75 77 68 88 67 79 90 72 35 11 87 13 30 5 76 69 23 24 98 7 57 55 37 61 4 45 47 17 91 49 8 53 ;139917;900000;286.191;103687;36230;
